@info
{
    "table":{
        "name":"wv_candset",
        "description":"",
        "idAttrib":{
            "name":"pairID",
            "type":"INTEGER"
        },
        "projectName":"wgec_el_2",
        "attributes":[
            {
                "name":"pairID",
                "type":"INTEGER"
            },
            {
                "name":"walmart.id",
                "type":"TEXT"
            },
            {
                "name":"vendor.id",
                "type":"TEXT"
            }
        ]
    }
}

@data
pairID:INTEGER,walmart.id:TEXT,vendor.id:TEXT
743,12179984,12179984#ivgStores
744,12185969,12185969#eBags
745,12186025,12186025#eBags
746,12181608,12181608#ivgStores
747,12181613,12181613#ivgStores
748,12181620,12181620#ivgStores
749,12186195,12186195#eBags
750,12186247,12186247#eBags
751,12184163,12184163#ivgStores
752,12184164,12184164#ivgStores
753,12185969,12185969#ivgStores
754,12187128,12187128#eBags
755,12187668,12187668#eBags
756,12187807,12187807#eBags
757,12187812,12187812#eBags
758,12187841,12187841#eBags
759,12327502,12327502#eBags
760,12342313,12342313#eBags
761,12342654,12342654#eBags
762,12574851,12574851#ivgStores
763,13045729,13045729#ivgStores
764,13055900,13055900#ivgStores
765,13056061,13056061#ivgStores
766,13056411,13056411#ivgStores
767,13056438,13056438#ivgStores
768,13056468,13056468#ivgStores
769,13056475,13056475#ivgStores
770,13056479,13056479#ivgStores
771,13056486,13056486#ivgStores
772,13056569,13056569#ivgStores
773,13056609,13056609#ivgStores
774,13056844,13056844#ivgStores
775,13056854,13056854#ivgStores
776,13056864,13056864#ivgStores
777,13056916,13056916#ivgStores
778,13072989,13072989#ivgStores
779,13073311,13073311#ivgStores
780,13073534,13073534#ivgStores
781,13081316,13081316#ivgStores
782,13081541,13081541#ivgStores
783,12359359,12359359#eBags
784,13081542,13081542#ivgStores
785,12360019,12360019#eBags
786,12360079,12360079#eBags
787,13215604,13215604#ivgStores
788,12360592,12360592#eBags
789,13442794,13442794#ivgStores
790,12425998,12425998#eBags
791,12425999,12425999#eBags
792,12427216,12427216#eBags
793,12427600,12427600#eBags
794,12427873,12427873#eBags
795,12427890,12427890#eBags
796,12472855,12472855#eBags
797,14235393,14235393#ivgStores
798,14235400,14235400#ivgStores
799,14235489,14235489#ivgStores
800,14236018,14236018#ivgStores
801,12548341,12548341#eBags
802,14526618,14526618#ivgStores
803,29407394,29407394#Perf-Moto
804,13219554,13219554#eBags
805,13246678,13246678#eBags
806,29827286,29827286#Perf-Moto
807,13393691,13393691#eBags
808,13730079,13730079#eBags
809,13730106,13730106#eBags
810,14872617,14872617#ivgStores
811,14872635,14872635#ivgStores
812,14872669,14872669#ivgStores
813,14291365,14291365#eBags
814,14313249,14313249#eBags
815,14574784,14574784#eBags
816,14574787,14574787#eBags
817,14574792,14574792#eBags
818,14915196,14915196#ivgStores
819,14915984,14915984#ivgStores
820,14916149,14916149#ivgStores
821,14916412,14916412#ivgStores
822,14696128,14696128#eBags
823,14898784,14898784#eBags
824,14922528,14922528#ivgStores
825,14898831,14898831#eBags
826,14967495,14967495#eBags
827,14967497,14967497#eBags
